Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
"C1","100nF","C_0402_1005Metric",339.280000,-3.630000,-90.000000,bottom
"C2","22pF","C_0402_1005Metric",311.740000,-12.590000,90.000000,bottom
"C3","22pF","C_0402_1005Metric",306.090000,-13.030000,-90.000000,bottom
"C4","1uF","C_0402_1005Metric",332.350000,-2.560000,180.000000,bottom
"C5","100nF","C_0402_1005Metric",336.972500,-11.682500,0.000000,bottom
"C6","100nF","C_0402_1005Metric",314.702500,-9.462500,180.000000,bottom
"C7","10uF","C_0402_1005Metric",300.612500,-1.650000,90.000000,bottom
"C8","1uF","C_0402_1005Metric",332.350000,-3.550000,180.000000,bottom
"C9","100nF","C_0402_1005Metric",331.772500,-6.152500,90.000000,bottom
"C10","100nF","C_0402_1005Metric",314.702500,-10.422500,180.000000,bottom
"C11","100nF","C_0402_1005Metric",325.192500,-5.932500,180.000000,bottom
"C12","100nF","C_0402_1005Metric",327.190000,-18.090000,-90.000000,bottom
"C13","100nF","C_0402_1005Metric",336.972500,-10.430000,0.000000,bottom
"C14","100nF","C_0402_1005Metric",332.810000,-6.137500,90.000000,bottom
"C15","100nF","C_0402_1005Metric",332.960000,-16.420000,0.000000,bottom
"C16","1uF","C_0402_1005Metric",293.302500,-2.110000,180.000000,bottom
"C17","1uF","C_0402_1005Metric",301.700000,-1.650000,90.000000,bottom
"D1","D","D_0603_1608Metric",47.625000,-31.850000,90.000000,bottom
"D2","D","D_0603_1608Metric",71.443750,-32.643750,90.000000,bottom
"D3","D","D_0603_1608Metric",90.487500,-31.850000,90.000000,bottom
"D4","D","D_0603_1608Metric",109.537500,-32.643750,90.000000,bottom
"D5","D","D_0603_1608Metric",128.587500,-31.850000,90.000000,bottom
"D6","D","D_0603_1608Metric",152.400000,-32.643750,90.000000,bottom
"D7","D","D_0603_1608Metric",171.450000,-31.850000,90.000000,bottom
"D8","D","D_0603_1608Metric",189.706250,-32.643750,90.000000,bottom
"D9","D","D_0603_1608Metric",209.550000,-31.850000,90.000000,bottom
"D10","D","D_0603_1608Metric",233.362500,-32.643750,90.000000,bottom
"D11","D","D_0603_1608Metric",252.412500,-31.850000,90.000000,bottom
"D12","D","D_0603_1608Metric",271.462500,-32.643750,90.000000,bottom
"D13","D","D_0603_1608Metric",290.512500,-31.850000,90.000000,bottom
"D14","D","D_0603_1608Metric",314.325000,-32.643750,90.000000,bottom
"D15","D","D_0603_1608Metric",342.900000,-31.850000,90.000000,bottom
"D16","D","D_0603_1608Metric",342.900000,-55.662500,90.000000,bottom
"D17","D","D_0603_1608Metric",305.593750,-56.450000,90.000000,bottom
"D18","D","D_0603_1608Metric",276.225000,-55.656250,90.000000,bottom
"D19","D","D_0603_1608Metric",257.181250,-56.450000,90.000000,bottom
"D20","D","D_0603_1608Metric",238.125000,-55.656250,90.000000,bottom
"D21","D","D_0603_1608Metric",219.075000,-56.450000,90.000000,bottom
"D22","D","D_0603_1608Metric",200.025000,-55.662500,90.000000,bottom
"D23","D","D_0603_1608Metric",180.975000,-56.450000,90.000000,bottom
"D24","D","D_0603_1608Metric",161.925000,-55.662500,90.000000,bottom
"D25","D","D_0603_1608Metric",142.875000,-56.450000,90.000000,bottom
"D26","D","D_0603_1608Metric",123.825000,-55.662500,90.000000,bottom
"D27","D","D_0603_1608Metric",104.775000,-56.450000,90.000000,bottom
"D28","D","D_0603_1608Metric",85.725000,-55.662500,90.000000,bottom
"D29","D","D_0603_1608Metric",66.675000,-56.450000,90.000000,bottom
"D30","D","D_0603_1608Metric",47.625000,-55.662500,90.000000,bottom
"D31","D","D_0603_1608Metric",52.387500,-74.706250,90.000000,bottom
"D32","D","D_0603_1608Metric",76.200000,-75.500000,90.000000,bottom
"D33","D","D_0603_1608Metric",95.250000,-74.712500,90.000000,bottom
"D34","D","D_0603_1608Metric",114.300000,-75.500000,90.000000,bottom
"D35","D","D_0603_1608Metric",133.350000,-74.712500,90.000000,bottom
"D36","D","D_0603_1608Metric",153.193750,-75.500000,90.000000,bottom
"D37","D","D_0603_1608Metric",171.450000,-74.706250,90.000000,bottom
"D38","D","D_0603_1608Metric",190.500000,-75.500000,90.000000,bottom
"D39","D","D_0603_1608Metric",209.550000,-74.706250,90.000000,bottom
"D40","D","D_0603_1608Metric",228.600000,-75.500000,90.000000,bottom
"D41","D","D_0603_1608Metric",247.650000,-74.706250,90.000000,bottom
"D42","D","D_0603_1608Metric",266.700000,-75.500000,90.000000,bottom
"D43","D","D_0603_1608Metric",285.750000,-74.712500,90.000000,bottom
"D44","D","D_0603_1608Metric",309.562500,-75.500000,90.000000,bottom
"D45","D","D_0603_1608Metric",342.900000,-74.706250,90.000000,bottom
"D46","D","D_0603_1608Metric",342.900000,-94.550000,90.000000,bottom
"D47","D","D_0603_1608Metric",302.418750,-93.762500,90.000000,bottom
"D48","D","D_0603_1608Metric",271.462500,-94.550000,90.000000,bottom
"D49","D","D_0603_1608Metric",252.412500,-93.762500,90.000000,bottom
"D50","D","D_0603_1608Metric",233.362500,-94.550000,90.000000,bottom
"D51","D","D_0603_1608Metric",214.312500,-93.762500,90.000000,bottom
"D52","D","D_0603_1608Metric",195.262500,-94.550000,90.000000,bottom
"D53","D","D_0603_1608Metric",176.212500,-93.762500,90.000000,bottom
"D54","D","D_0603_1608Metric",157.162500,-94.550000,90.000000,bottom
"D55","D","D_0603_1608Metric",138.112500,-93.762500,90.000000,bottom
"D56","D","D_0603_1608Metric",119.856250,-94.550000,90.000000,bottom
"D57","D","D_0603_1608Metric",100.012500,-93.756250,90.000000,bottom
"D58","D","D_0603_1608Metric",80.962500,-94.550000,90.000000,bottom
"D59","D","D_0603_1608Metric",54.768750,-93.756250,90.000000,bottom
"D60","D","D_0603_1608Metric",59.531250,-112.806250,90.000000,bottom
"D61","D","D_0603_1608Metric",90.487500,-113.600000,90.000000,bottom
"D62","D","D_0603_1608Metric",109.537500,-112.806250,90.000000,bottom
"D63","D","D_0603_1608Metric",128.587500,-113.600000,90.000000,bottom
"D64","D","D_0603_1608Metric",147.637500,-112.806250,90.000000,bottom
"D65","D","D_0603_1608Metric",166.687500,-113.600000,90.000000,bottom
"D66","D","D_0603_1608Metric",185.737500,-112.806250,90.000000,bottom
"D67","D","D_0603_1608Metric",204.787500,-113.600000,90.000000,bottom
"D68","D","D_0603_1608Metric",223.837500,-112.806250,90.000000,bottom
"D69","D","D_0603_1608Metric",242.887500,-113.600000,90.000000,bottom
"D70","D","D_0603_1608Metric",261.937500,-112.806250,90.000000,bottom
"D71","D","D_0603_1608Metric",288.131250,-113.600000,90.000000,bottom
"D72","D","D_0603_1608Metric",323.850000,-112.806250,90.000000,bottom
"D73","D","D_0603_1608Metric",342.900000,-113.600000,90.000000,bottom
"D74","D","D_0603_1608Metric",338.137500,-137.412500,90.000000,bottom
"D75","D","D_0603_1608Metric",319.087500,-136.618750,90.000000,bottom
"D76","D","D_0603_1608Metric",300.037500,-137.418750,90.000000,bottom
"D77","D","D_0603_1608Metric",276.225000,-131.862500,90.000000,bottom
"D78","D","D_0603_1608Metric",257.175000,-132.650000,90.000000,bottom
"D79","D","D_0603_1608Metric",238.125000,-131.862500,90.000000,bottom
"D80","D","D_0603_1608Metric",169.068750,-132.650000,90.000000,bottom
"D81","D","D_0603_1608Metric",97.631250,-131.862500,90.000000,bottom
"D82","D","D_0603_1608Metric",73.818750,-132.650000,90.000000,bottom
"D83","D","D_0603_1608Metric",50.006250,-131.862500,90.000000,bottom
"D84","D","D_0603_1608Metric",34.925000,-132.650000,90.000000,bottom
"D85","D","D_0603_1608Metric",15.875000,-132.650000,90.000000,bottom
"D86","D","D_0603_1608Metric",15.875000,-113.600000,90.000000,bottom
"D87","D","D_0603_1608Metric",34.925000,-113.600000,90.000000,bottom
"D88","D","D_0603_1608Metric",15.875000,-32.637500,90.000000,bottom
"D89","D","D_0603_1608Metric",34.131250,-32.643750,90.000000,bottom
"F1","Fuse","Fuse_1206_3216Metric",267.000000,-1.690000,0.000000,bottom
"J3","Conn_01x08_Socket","GH_Connector",19.050000,-46.925000,180.000000,bottom
"R1","1k","R_0402_1005Metric",342.140000,-8.490000,0.000000,bottom
"R2","1k","R_0402_1005Metric",288.925000,-14.381250,0.000000,bottom
"R3","5,1k","R_0402_1005Metric",260.840000,-8.840000,0.000000,bottom
"R4","5,1k","R_0402_1005Metric",255.060000,-9.160000,180.000000,bottom
"R5","27R","R_0402_1005Metric",336.900000,-4.280000,180.000000,bottom
"R6","27R","R_0402_1005Metric",337.040000,-5.280000,180.000000,bottom
"R7","1k","R_0402_1005Metric",307.680000,-10.580000,-90.000000,bottom
"SW90","SW_Push","SW_SPST_SKQG_WithStem",345.752500,-11.992500,180.000000,bottom
"U1","RP2040","QFN-56-1EP_7x7mm_P0.4mm_EP3.2x3.2mm",328.612500,-11.737500,90.000000,bottom
"U2","XC6206PxxxMR","SOT-23-3",297.492500,-2.090000,180.000000,bottom
"U3","W25Q128JVS","SOIC-8_5.23x5.23mm_P1.27mm",345.232500,-5.052500,0.000000,bottom
"U4","USBLC6-2SC6","SOT-23-6",266.510000,-5.158750,180.000000,bottom
"Y1","Crystal_GND24_Small","Crystal_SMD_3225-4Pin_3.2x2.5mm",308.782500,-13.382500,0.000000,bottom
