Designator,Mid X,Mid Y,Rotation,Layer
"J1","USB_C_Receptacle_USB2.0","USB_C_Receptacle_HRO_TYPE-C-31-M-12",257.692500,-2.398750,180.000000,top
"J2","Conn_01x05_Socket","PinHeader_1x05_P2.54mm_Vertical",287.972500,-12.000000,90.000000,top
"REF**","Button_placement","Button_placement",28.575000,-24.700000,0.000000,top
"REF**","Button_placement","Button_placement",28.575000,-124.712500,0.000000,top
"REF**","Button_placement","Button_placement",9.525000,-124.712500,0.000000,top
"REF**","Button_placement","Button_placement",9.525000,-105.662500,0.000000,top
"REF**","Button_placement","Button_placement",9.525000,-24.700000,0.000000,top
"REF**","Button_placement","Button_placement",28.575000,-105.662500,0.000000,top
"S1","GAT_LP_stab","Gateron_LP_Stabilizer_2u",304.800000,-48.512500,0.000000,top
"S2","GAT_LP_stab","Gateron_LP_Stabilizer_2,25u",302.418750,-86.612500,0.000000,top
"S3","GAT_LP_stab","Gateron_LP_Stabilizer_6,25u",169.068750,-124.712500,0.000000,top
"S4","GAT_LP_stab","Gateron_LP_Stabilizer_2,25u",59.531250,-105.662500,0.000000,top
"S5","~","1.9 Waveshare ST7789 screen",19.050000,-67.562500,0.000000,top
"SW1","RotaryEncoder_Switch","RotaryEncoder_Alps_EC11E-Switch_Vertical_H20mm",28.575000,-24.700000,-90.000000,top
"SW2","~","SW_Gateron_LowProfile_HotSwap_PTH",47.625000,-24.700000,180.000000,top
"SW3","~","SW_Gateron_LowProfile_HotSwap_PTH",71.437500,-24.700000,180.000000,top
"SW4","~","SW_Gateron_LowProfile_HotSwap_PTH",90.487500,-24.700000,180.000000,top
"SW5","~","SW_Gateron_LowProfile_HotSwap_PTH",109.537500,-24.700000,180.000000,top
"SW6","~","SW_Gateron_LowProfile_HotSwap_PTH",128.587500,-24.700000,180.000000,top
"SW7","~","SW_Gateron_LowProfile_HotSwap_PTH",152.400000,-24.700000,180.000000,top
"SW8","~","SW_Gateron_LowProfile_HotSwap_PTH",171.450000,-24.700000,180.000000,top
"SW9","~","SW_Gateron_LowProfile_HotSwap_PTH",190.500000,-24.700000,180.000000,top
"SW10","~","SW_Gateron_LowProfile_HotSwap_PTH",209.550000,-24.700000,180.000000,top
"SW11","~","SW_Gateron_LowProfile_HotSwap_PTH",233.362500,-24.700000,180.000000,top
"SW12","~","SW_Gateron_LowProfile_HotSwap_PTH",252.412500,-24.700000,180.000000,top
"SW13","~","SW_Gateron_LowProfile_HotSwap_PTH",271.462500,-24.700000,180.000000,top
"SW14","~","SW_Gateron_LowProfile_HotSwap_PTH",290.512500,-24.700000,180.000000,top
"SW15","~","SW_Gateron_LowProfile_HotSwap_PTH",314.325000,-24.700000,180.000000,top
"SW16","~","SW_Gateron_LowProfile_HotSwap_PTH",342.900000,-24.700000,180.000000,top
"SW17","~","SW_Gateron_LowProfile_HotSwap_PTH",342.900000,-48.512500,180.000000,top
"SW18","~","SW_Gateron_LowProfile_HotSwap_PTH",304.800000,-48.512500,180.000000,top
"SW19","~","SW_Gateron_LowProfile_HotSwap_PTH",276.225000,-48.512500,180.000000,top
"SW20","~","SW_Gateron_LowProfile_HotSwap_PTH",257.175000,-48.512500,180.000000,top
"SW21","~","SW_Gateron_LowProfile_HotSwap_PTH",238.125000,-48.512500,180.000000,top
