Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C10, C11, C12, C13, C14, C15, C5, C6, C9",0402,10,100nF,
"C16, C17, C4, C8",0402,4,1uF,
"C2, C3",0402,2,22pF,
C7,0402,1,10uF,
"D1, D10, D11, D12, D13, D14, D15, D16, D17, D18, D19, D2, D20, D21, D22, D23, D24, D25, D26, D27, D28, D29, D3, D30, D31, D32, D33, D34, D35, D36, D37, D38, D39, D4, D40, D41, D42, D43, D44, D45, D46, D47, D48, D49, D5, D50, D51, D52, D53, D54, D55, D56, D57, D58, D59, D6, D60, D61, D62, D63, D64, D65, D66, D67, D68, D69, D7, D70, D71, D72, D73, D74, D75, D76, D77, D78, D79, D8, D80, D81, D82, D83, D84, D85, D86, D87, D88, D89, D9",0603,89,D,
F1,1206,1,500mA,
J1,USB_C_Receptacle_HRO_TYPE-C-31-M-12,1,USB_C_Receptacle_USB2.0,
J2,PinHeader_1x05_P2.54mm_Vertical,1,Conn_01x05_Socket,
J3,GH_Connector,1,Conn_01x08_Socket,
"R1, R2, R7",0402,3,1k,
"R3, R4",0402,2,"5,1k",
"R5, R6",0402,2,27R,
S1,Gateron_LP_Stabilizer_2u,1,GAT_LP_stab,
"S2, S4","Gateron_LP_Stabilizer_2,25u",2,GAT_LP_stab,
S3,"Gateron_LP_Stabilizer_6,25u",1,GAT_LP_stab,
S5,1.9 Waveshare ST7789 screen,1,~,
"SW1, SW32",RotaryEncoder_Alps_EC11E-Switch_Vertical_H20mm,2,RotaryEncoder_Switch,
"SW10, SW11, SW12, SW13, SW14, SW15, SW16, SW17, SW18, SW19, SW2, SW20, SW21, SW22, SW23, SW24, SW25, SW26, SW27, SW28, SW29, SW3, SW30, SW31, SW35, SW36, SW37, SW38, SW39, SW4, SW40, SW41, SW42, SW43, SW44, SW45, SW46, SW48, SW49, SW5, SW50, SW51, SW52, SW53, SW54, SW55, SW56, SW57, SW58, SW59, SW6, SW60, SW61, SW65, SW66, SW67, SW68, SW69, SW7, SW70, SW71, SW72, SW73, SW74, SW75, SW77, SW78, SW79, SW8, SW80, SW81, SW82, SW83, SW84, SW85, SW9",SW_Gateron_LowProfile_HotSwap_PTH,76,~,
"SW33, SW63, SW64, SW89",SW_Push_1P1T_NO_6x6mm_H9.5mm,4,SW_Push,
"SW34, SW47",SW_Gateron_LowProfile_HotSwap_PTH_1.5u,2,~,
"SW62, SW76",SW_Gateron_LowProfile_HotSwap_PTH_1.75u,2,~,
"SW86, SW87, SW88",SW_Gateron_LowProfile_HotSwap_PTH_1.25u,3,~,
SW90,SW_SPST_SKQG_WithStem,1,SW_Push,
U1,QFN-56-1EP_7x7mm_P0.4mm_EP3.2x3.2mm,1,RP2040,
U2,SOT-23-3,1,XC6206PxxxMR,
U3,SOIC-8_5.23x5.23mm_P1.27mm,1,W25Q128JVS,
U4,SOT-23-6,1,USBLC6-2SC6,
Y1,Crystal_SMD_3225-4Pin_3.2x2.5mm,1,Crystal_GND24_Small,
