Designator,Mid X,Mid Y,Rotation,Layer
C1,339.28,-3.63,270.0,bottom
C10,314.7025,-10.4225,0.0,bottom
C11,325.1925,-5.9325,0.0,bottom
C12,327.19,-18.09,270.0,bottom
C13,336.9725,-10.43,180.0,bottom
C14,332.81,-6.1375,90.0,bottom
C15,332.96,-16.42,180.0,bottom
C16,293.3025,-2.11,0.0,bottom
C17,301.7,-1.65,90.0,bottom
C2,311.74,-12.59,90.0,bottom
C3,306.09,-13.03,270.0,bottom
C4,332.35,-2.56,0.0,bottom
C5,336.9725,-11.6825,180.0,bottom
C6,314.7025,-9.4625,0.0,bottom
C7,300.6125,-1.65,90.0,bottom
C8,332.35,-3.55,0.0,bottom
C9,331.7725,-6.1525,90.0,bottom
D1,47.625,-31.85,90.0,bottom
D10,233.3625,-32.64375,90.0,bottom
D11,252.4125,-31.85,90.0,bottom
D12,271.4625,-32.64375,90.0,bottom
D13,290.5125,-31.85,90.0,bottom
D14,314.325,-32.64375,90.0,bottom
D15,342.9,-31.85,90.0,bottom
D16,342.9,-55.6625,90.0,bottom
D17,305.59375,-56.45,90.0,bottom
D18,276.225,-55.65625,90.0,bottom
D19,257.18125,-56.45,90.0,bottom
D2,71.44375,-32.64375,90.0,bottom
D20,238.125,-55.65625,90.0,bottom
D21,219.075,-56.45,90.0,bottom
D22,200.025,-55.6625,90.0,bottom
D23,180.975,-56.45,90.0,bottom
D24,161.925,-55.6625,90.0,bottom
D25,142.875,-56.45,90.0,bottom
D26,123.825,-55.6625,90.0,bottom
D27,104.775,-56.45,90.0,bottom
D28,85.725,-55.6625,90.0,bottom
D29,66.675,-56.45,90.0,bottom
D3,90.4875,-31.85,90.0,bottom
D30,47.625,-55.6625,90.0,bottom
D31,52.3875,-74.70625,90.0,bottom
D32,76.2,-75.5,90.0,bottom
D33,95.25,-74.7125,90.0,bottom
D34,114.3,-75.5,90.0,bottom
D35,133.35,-74.7125,90.0,bottom
D36,153.19375,-75.5,90.0,bottom
D37,171.45,-74.70625,90.0,bottom
D38,190.5,-75.5,90.0,bottom
D39,209.55,-74.70625,90.0,bottom
D4,109.5375,-32.64375,90.0,bottom
D40,228.6,-75.5,90.0,bottom
D41,247.65,-74.70625,90.0,bottom
D42,266.7,-75.5,90.0,bottom
D43,285.75,-74.7125,90.0,bottom
D44,309.5625,-75.5,90.0,bottom
D45,342.9,-74.70625,90.0,bottom
D46,342.9,-94.55,90.0,bottom
D47,302.41875,-93.7625,90.0,bottom
D48,271.4625,-94.55,90.0,bottom
D49,252.4125,-93.7625,90.0,bottom
D5,128.5875,-31.85,90.0,bottom
D50,233.3625,-94.55,90.0,bottom
D51,214.3125,-93.7625,90.0,bottom
D52,195.2625,-94.55,90.0,bottom
D53,176.2125,-93.7625,90.0,bottom
D54,157.1625,-94.55,90.0,bottom
D55,138.1125,-93.7625,90.0,bottom
D56,119.85625,-94.55,90.0,bottom
D57,100.0125,-93.75625,90.0,bottom
D58,80.9625,-94.55,90.0,bottom
D59,54.76875,-93.75625,90.0,bottom
D6,152.4,-32.64375,90.0,bottom
D60,59.53125,-112.80625,90.0,bottom
D61,90.4875,-113.6,90.0,bottom
D62,109.5375,-112.80625,90.0,bottom
D63,128.5875,-113.6,90.0,bottom
D64,147.6375,-112.80625,90.0,bottom
D65,166.6875,-113.6,90.0,bottom
D66,185.7375,-112.80625,90.0,bottom
D67,204.7875,-113.6,90.0,bottom
D68,223.8375,-112.80625,90.0,bottom
D69,242.8875,-113.6,90.0,bottom
D7,171.45,-31.85,90.0,bottom
D70,261.9375,-112.80625,90.0,bottom
D71,288.13125,-113.6,90.0,bottom
D72,323.85,-112.80625,90.0,bottom
D73,342.9,-113.6,90.0,bottom
D74,338.1375,-137.4125,90.0,bottom
D75,319.0875,-136.61875,90.0,bottom
D76,300.0375,-137.41875,90.0,bottom
D77,276.225,-131.8625,90.0,bottom
D78,257.175,-132.65,90.0,bottom
D79,238.125,-131.8625,90.0,bottom
D8,189.70625,-32.64375,90.0,bottom
D80,169.06875,-132.65,90.0,bottom
D81,97.63125,-131.8625,90.0,bottom
D82,73.81875,-132.65,90.0,bottom
D83,50.00625,-131.8625,90.0,bottom
D84,34.925,-132.65,90.0,bottom
D85,15.875,-132.65,90.0,bottom
D86,15.875,-113.6,90.0,bottom
D87,34.925,-113.6,90.0,bottom
D88,15.875,-32.6375,90.0,bottom
D89,34.13125,-32.64375,90.0,bottom
D9,209.55,-31.85,90.0,bottom
F1,267.0,-1.69,180.0,bottom
J3,19.05,-46.925,0.0,bottom
R1,342.14,-8.49,180.0,bottom
R2,288.925,-14.38125,180.0,bottom
R3,260.84,-8.84,180.0,bottom
R4,255.06,-9.16,0.0,bottom
R5,336.9,-4.28,0.0,bottom
R6,337.04,-5.28,0.0,bottom
R7,307.68,-10.58,270.0,bottom
SW90,345.7525,-11.9925,0.0,bottom
U1,328.6125,-11.7375,90.0,bottom
U2,297.4925,-2.09,0.0,bottom
U3,345.2325,-5.0525,180.0,bottom
U4,266.51,-5.15875,0.0,bottom
Y1,308.7825,-13.3825,180.0,bottom
